 148 | 03/24/2022 | 09:51:54 PM UTC | System Event | Timestamp Clock Sync | Asserted
 149 | 03/24/2022 | 09:51:54 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 14a | 03/24/2022 | 09:51:58 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 14b | 03/24/2022 | 09:52:00 PM UTC | System Event | Timestamp Clock Sync | Asserted
 14c | 03/24/2022 | 09:56:36 PM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 14d | 03/24/2022 | 11:28:13 PM UTC | Power Unit #0xff | Power off/down | Asserted
 14e | 03/24/2022 | 11:30:03 PM UTC | System Event | OEM System boot event | Asserted
 14f | 03/24/2022 | 11:33:32 PM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 150 | 03/25/2022 | 12:26:45 AM UTC | Power Unit #0xff | Power off/down | Asserted
 151 | 03/25/2022 | 12:31:57 AM UTC | System Event | OEM System boot event | Asserted
 152 | 03/25/2022 | 01:09:33 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 153 | 03/25/2022 | 03:24:40 AM UTC | System Event | OEM System boot event | Asserted
 154 | 03/25/2022 | 03:26:54 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 155 | 03/26/2022 | 10:17:41 PM UTC | Power Supply #0xe6 | Power Supply AC lost | Deasserted
 156 | 03/26/2022 | 10:18:03 PM UTC | Power Supply #0xe7 | Power Supply AC lost | Asserted
 157 | 03/26/2022 | 10:18:09 PM UTC | Processor #0xe4 | Throttled | Asserted
 158 | 03/26/2022 | 10:18:38 PM UTC | Processor #0xe4 | Throttled | Deasserted
 159 | 03/26/2022 | 10:18:38 PM UTC | Power Supply #0xe7 | Power Supply AC lost | Deasserted
 15a | 03/26/2022 | 11:45:39 PM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
 15b | 03/26/2022 | 11:45:39 PM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
 15c | 03/26/2022 | 11:45:40 PM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
 15d | 03/26/2022 | 11:45:41 PM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
 15e | 03/26/2022 | 11:45:41 PM UTC | Drive Slot / Bay #0x05 | Drive Present | Asserted
 15f | 03/26/2022 | 11:45:42 PM UTC | Drive Slot / Bay #0x06 | Drive Present | Asserted
 160 | 03/26/2022 | 11:45:42 PM UTC | Drive Slot / Bay #0x07 | Drive Present | Asserted
 161 | 03/26/2022 | 11:45:43 PM UTC | Drive Slot / Bay #0x08 | Drive Present | Asserted
 162 | 03/27/2022 | 02:16:01 AM UTC | System Event | OEM System boot event | Asserted
 163 | 03/27/2022 | 02:16:32 AM UTC | System Event | Timestamp Clock Sync | Asserted
 164 | 03/27/2022 | 02:16:32 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 165 | 03/27/2022 | 02:16:36 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 166 | 03/27/2022 | 02:16:37 AM UTC | System Event | Timestamp Clock Sync | Asserted
 167 | 03/27/2022 | 02:18:29 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 168 | 03/27/2022 | 02:25:47 AM UTC | System Event | OEM System boot event | Asserted
 169 | 03/27/2022 | 02:28:08 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 16a | 03/27/2022 | 11:38:20 AM UTC | Power Unit #0xff | Power off/down | Asserted
 16b | 03/27/2022 | 11:40:07 AM UTC | System Event | OEM System boot event | Asserted
 16c | 03/27/2022 | 11:44:08 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 16d | 03/27/2022 | 11:44:52 AM UTC | Power Unit #0xff | Power off/down | Asserted
 16e | 03/27/2022 | 11:48:32 AM UTC | System Event | OEM System boot event | Asserted
 16f | 03/27/2022 | 11:51:36 AM UTC | Power Unit #0xff | Power off/down | Asserted
